,name,link,rate,location,h_id
0,Hôtel Malte - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"5,0","63 rue de Richelieu 2nd Arr., 75002 Paris France",187147228694
1,Hotel Ekta,https://www.tripadvisor.fr/Hotel_Review-g187147-d7645653-Reviews-Hotel_Ekta-Paris_Ile_de_France.html,"4,5","52 rue Galilée, 75008 Paris France",1871477645653
2,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
3,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
4,B Montmartre Hotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,"4,5","6 rue Lecluse, 75017 Paris France",187147280083
5,Hôtel Eiffel Blomet,https://www.tripadvisor.fr/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html,"4,5","78 rue Blomet, 75015 Paris France",1871476395273
6,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
7,Hotel Terminus Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d282205-Reviews-Hotel_Terminus_Lyon-Paris_Ile_de_France.html,"4,0","19 boulevard Diderot, 75012 Paris France",187147282205
8,Hôtel CitizenM Paris Gare de Lyon,https://www.tripadvisor.fr/Hotel_Review-g187147-d12455412-Reviews-Hotel_CitizenM_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,"4,5","8 rue Van Gogh, 75012 Paris France",18714712455412
9,Hotel des Grands Hommes,https://www.tripadvisor.fr/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"4,5","17 Place du Pantheon, 75005 Paris France",187147219988
10,Hotel Darcet,https://www.tripadvisor.fr/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4,5","4 rue Darcet 17 Arr., 75017 Paris France",187147274978
11,Hotel Da Vinci & Spa,https://www.tripadvisor.fr/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,"5,0","25 rue des Saints Pères, 75006 Paris France",1871476675948
12,Pullman Paris Eiffel Tower Hotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Eiffel_Tower_Hotel-Paris_Ile_de_France.html,"4,0","18 Avenue de Suffren, 75015 Paris France",187147197985
13,Hôtel 34B - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d9566832-Reviews-Hotel_34B_Astotel-Paris_Ile_de_France.html,"5,0","34 Rue Bergère, 75009 Paris France",1871479566832
14,Hôtel Apollon Montparnasse,https://www.tripadvisor.fr/Hotel_Review-g187147-d265343-Reviews-Hotel_Apollon_Montparnasse-Paris_Ile_de_France.html,"4,5","91 rue de l ouest 14 Arr., 75014 Paris France",187147265343
