,name,rate,title,u_id,h_id
0,Elmiltch,"5,0",Idéal pour visite de Paris en famille,-1152596319297231532,A CHANGER
1,,"5,0",,-1152596319297231532,A CHANGER
2,Sarahe,"5,0",Bon séjours,-4496547799725959920,A CHANGER
3,Guillaume G,"5,0","Rapport qualité/prix de folie, localisation idéale pour visiter Paris.",-4192406889284920459,A CHANGER
4,Silva A,"5,0",Séjour Hotel Malte Astotel Paris,5787180980290430338,A CHANGER
5,,"5,0",,5787180980290430338,A CHANGER
6,Marc W,"5,0",Chouette hôtel,-964461838996601786,A CHANGER
7,,"5,0",,-964461838996601786,A CHANGER
8,,"5,0",,-964461838996601786,A CHANGER
9,lionel-lacour,"5,0",Très bon hôtel,5033019874128714218,A CHANGER
10,michelerochiccioli2,"5,0",A conseiller +++,-2620641022471580364,A CHANGER
11,thierryjulien2020,"5,0",Très bien,-8787553927776675734,A CHANGER
12,xk551,"2,0",tres déçu pour ma deuxième venue chez vous.,7823687228896337466,A CHANGER
13,Julie C,"5,0",Aux petits soins!,2407125498862317323,A CHANGER
14,,"5,0",,2407125498862317323,A CHANGER
15,,"1,0",,2407125498862317323,A CHANGER
16,Martinepierre14,"5,0",Accueil très chaleureux dans un contexte difficile de confinement et d'attentats,-4263724343705851438,A CHANGER
17,,"5,0",,-4263724343705851438,A CHANGER
18,,"4,0",,-4263724343705851438,A CHANGER
19,,"4,0",,-4263724343705851438,A CHANGER
20,,"5,0",,-4263724343705851438,A CHANGER
21,,"5,0",,-4263724343705851438,A CHANGER
22,,"4,0",,-4263724343705851438,A CHANGER
23,,"5,0",,-4263724343705851438,A CHANGER
24,,"3,0",,-4263724343705851438,A CHANGER
25,bozu2046,"4,0",Très bon rapport qualité/ prix,-6977778809575761745,A CHANGER
26,,"4,0",,-6977778809575761745,A CHANGER
27,,"5,0",,-6977778809575761745,A CHANGER
28,,"3,0",,-6977778809575761745,A CHANGER
29,,"5,0",,-6977778809575761745,A CHANGER
30,,"5,0",,-6977778809575761745,A CHANGER
31,,"4,0",,-6977778809575761745,A CHANGER
32,,"4,0",,-6977778809575761745,A CHANGER
33,eric2vdigpo1ml5lxh5g,"5,0",Un bel endroit,5510731436976142428,A CHANGER
34,xav d,"4,0",Voyage affaire,4832550572617252400,A CHANGER
35,,"4,0",,4832550572617252400,A CHANGER
36,,"5,0",,4832550572617252400,A CHANGER
37,,"3,0",,4832550572617252400,A CHANGER
38,,"5,0",,4832550572617252400,A CHANGER
39,,"3,0",,4832550572617252400,A CHANGER
40,,"3,0",,4832550572617252400,A CHANGER
41,,"3,0",,4832550572617252400,A CHANGER
42,Remyriam,"5,0",Excellent sejour a l'hotel La Manufacture,558701486569365819,A CHANGER
43,,"5,0",,558701486569365819,A CHANGER
44,,"5,0",,558701486569365819,A CHANGER
45,Avi L,"5,0",Une discrétion et un service d’exception ,3646590190865766445,A CHANGER
46,,"5,0",,3646590190865766445,A CHANGER
47,Amandine,"5,0",Merveilleux hôtel je recommande 1000 fois !,4458006709013324560,A CHANGER
48,,"5,0",,4458006709013324560,A CHANGER
49,enzo k,"5,0",ALLEZ Y ! extra,-1446711965927959033,A CHANGER
50,Jade,"5,0",Séjour merveilleux ,2600974488761755324,A CHANGER
51,Rachou1810,"5,0",Premier hôtel > LE TOOOPPP,-7923352298144330013,A CHANGER
52,,"5,0",,-7923352298144330013,A CHANGER
53,peaceandlove,"4,0",Décoration trés bien pensée,3962235821978875253,A CHANGER
54,,"4,0",,3962235821978875253,A CHANGER
55,,"4,0",,3962235821978875253,A CHANGER
56,,"4,0",,3962235821978875253,A CHANGER
57,,"4,0",,3962235821978875253,A CHANGER
58,,"2,0",,3962235821978875253,A CHANGER
59,Alex F,"5,0",Magnifique hôtel,-5553117969692719907,A CHANGER
60,bgliga738524,"5,0",Voyage au top !,3304039987084943984,A CHANGER
61,Pauline D,"5,0",Séjour parfait,-7614915407960294009,A CHANGER
62,Alexandra L,"5,0",Mon hotel préféré à Paris,8557833055570817943,A CHANGER
63,,"5,0",,8557833055570817943,A CHANGER
64,hortenserigal,"5,0",Superbe Hotel,5064772355919017252,A CHANGER
65,18laure,"5,0",bravo à l'équipe de l'hôtel pour sa disponibilité et son sens de l'accueil,-3835042589200746858,A CHANGER
66,Jeremy Barray,"5,0",Excellent!,400842302489663488,A CHANGER
67,Sandra F,"5,0",Très bon hôtel,6081716588918771547,A CHANGER
68,Boucheron Joell... L,"5,0",Séjour en famille ,5597710160435003750,A CHANGER
69,,"4,0",,5597710160435003750,A CHANGER
70,,"5,0",,5597710160435003750,A CHANGER
71,,"5,0",,5597710160435003750,A CHANGER
72,,"1,0",,5597710160435003750,A CHANGER
73,,"5,0",,5597710160435003750,A CHANGER
74,DavidBeaufils,"5,0",Superbe !!,4774117166547632028,A CHANGER
75,,"5,0",,4774117166547632028,A CHANGER
76,,"5,0",,4774117166547632028,A CHANGER
77,,"5,0",,4774117166547632028,A CHANGER
78,,"5,0",,4774117166547632028,A CHANGER
79,Dubuc,"5,0",Hotel plein de charme,-9071797941723686219,A CHANGER
80,Lordbret007,"1,0",2 Étoiles et je suis génereux,4269365347570483450,A CHANGER
81,,"1,0",,4269365347570483450,A CHANGER
82,,"1,0",,4269365347570483450,A CHANGER
83,,"5,0",,4269365347570483450,A CHANGER
84,,"5,0",,4269365347570483450,A CHANGER
85,,"4,0",,4269365347570483450,A CHANGER
86,,"5,0",,4269365347570483450,A CHANGER
87,,"5,0",,4269365347570483450,A CHANGER
88,,"1,0",,4269365347570483450,A CHANGER
89,,"5,0",,4269365347570483450,A CHANGER
90,,"5,0",,4269365347570483450,A CHANGER
91,,"1,0",,4269365347570483450,A CHANGER
92,,"5,0",,4269365347570483450,A CHANGER
93,,"5,0",,4269365347570483450,A CHANGER
94,,"5,0",,4269365347570483450,A CHANGER
95,,"4,0",,4269365347570483450,A CHANGER
96,,"5,0",,4269365347570483450,A CHANGER
97,,"5,0",,4269365347570483450,A CHANGER
98,,"4,0",,4269365347570483450,A CHANGER
99,Maharahaje S,"5,0", Un des meilleurs hôtels à Paris,751177626303728371,A CHANGER
100,,"5,0",,751177626303728371,A CHANGER
101,claudine c,"5,0",Soirée romantique,-3291852820852344586,A CHANGER
102,,"5,0",,-3291852820852344586,A CHANGER
103,,"4,0",,-3291852820852344586,A CHANGER
104,,"5,0",,-3291852820852344586,A CHANGER
105,,"5,0",,-3291852820852344586,A CHANGER
106,nadyatel,"5,0",Agréable séjour,361738560148871198,A CHANGER
107,natzen13,"5,0",Impec!,8033637862650606559,A CHANGER
108,,"5,0",,8033637862650606559,A CHANGER
109,,"4,0",,8033637862650606559,A CHANGER
110,khadrayb,"5,0",Accueil,2701124916086312971,A CHANGER
111,fredericroch,"5,0",Avis excellent,-176160825973777150,A CHANGER
112,berengeremasson,"5,0",Tres bon hotel pour une nuit avant de prendre le train,-6626438996100763503,A CHANGER
113,Christian B,"4,0",Beau concept,-6286304981891915403,A CHANGER
