,name,link,rate,location,h_id
0,Hôtel Malte - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"5,0","63 rue de Richelieu 2nd Arr., 75002 Paris France",187147228694
1,Hôtel Malte - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"5,0","63 rue de Richelieu 2nd Arr., 75002 Paris France",187147228694
2,Hôtel Malte - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"5,0","63 rue de Richelieu 2nd Arr., 75002 Paris France",187147228694
3,Hôtel Malte - Astotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"5,0","63 rue de Richelieu 2nd Arr., 75002 Paris France",187147228694
4,Le Domaine de La Reserve,https://www.tripadvisor.fr/Hotel_Review-g1191832-d316586-Reviews-Le_Domaine_de_La_Reserve-Anse_Volbert_Praslin_Island.html,"4,5","Anse Petite Cour, Anse Volbert, Île de Praslin Îles Seychelles",1191832316586
5,Hotel Ekta,https://www.tripadvisor.fr/Hotel_Review-g187147-d7645653-Reviews-Hotel_Ekta-Paris_Ile_de_France.html,"4,5","52 rue Galilée, 75008 Paris France",1871477645653
6,Hotel Ekta,https://www.tripadvisor.fr/Hotel_Review-g187147-d7645653-Reviews-Hotel_Ekta-Paris_Ile_de_France.html,"4,5","52 rue Galilée, 75008 Paris France",1871477645653
7,Chambres d'Hôtes Maris Stella,https://www.tripadvisor.fr/Hotel_Review-g1025630-d12560048-Reviews-Chambres_D_Hotes_Maris_Stella-Le_Pouliguen_Loire_Atlantique_Pays_de_la_Loire.html,"5,0","14 Rue Lamartine, 44510 Le Pouliguen France",102563012560048
8,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
9,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
10,The Vintage Hotel & Spa Lisbon,https://www.tripadvisor.fr/Hotel_Review-g189158-d1754262-Reviews-The_Vintage_Hotel_Spa_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,"4,5","Rua Rodrigo da Fonseca 2, Lisbonne 1250-191 Portugal",1891581754262
11,Soleil Vacances Beach Hôtel,https://www.tripadvisor.fr/Hotel_Review-g187187-d582557-Reviews-Soleil_Vacances_Beach_Hotel-Trouville_sur_Mer_Deauville_Calvados_Basse_Normandie_Norman.html,"3,0","1 quai Albert 1er, 14360 Trouville, Deauville France",187187582557
12,Hotel Al Ponte Mocenigo,https://www.tripadvisor.fr/Hotel_Review-g187870-d558796-Reviews-Hotel_Al_Ponte_Mocenigo-Venice_Veneto.html,"5,0","S. Croce 2063, 30135 Venise Italie",187870558796
13,LA METAIRIE DU VAUHARIOT PISCINE CHAUFFÉE ET VUE MER,https://www.tripadvisor.fr/Hotel_Review-g196526-d1466662-Reviews-LA_METAIRIE_DU_VAUHARIOT_PISCINE_CHAUFFEE_ET_VUE_MER-Cancale_Ille_et_Vilaine_Brittany.html,"4,5","66 rue des Francais Libres Terrelabouet le Vauhariot, 35260 Cancale France",1965261466662
14,Langham Court Hotel,https://www.tripadvisor.fr/Hotel_Review-g186338-d199141-Reviews-Langham_Court_Hotel-London_England.html,"3,5","31-35 Langham Street Fitzrovia, Londres W1W 6BU Angleterre",186338199141
15,Château de Roncourt,https://www.tripadvisor.fr/Hotel_Review-g13917377-d6695448-Reviews-Chateau_de_Roncourt-Hagneville_et_Roncourt_Vosges_Grand_Est.html,"5,0","1, rue du Château, 88300 Hagnéville-et-Roncourt France",139173776695448
16,Domaine du Feyel,https://www.tripadvisor.fr/Hotel_Review-g6369106-d6368996-Reviews-Domaine_du_Feyel-Landaville_Vosges_Grand_Est.html,"3,5","Domaine de Feyel 102 rue Han le Duc, 88300 Landaville France",63691066368996
17,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
18,Le Clos,https://www.tripadvisor.fr/Hotel_Review-g659457-d1108939-Reviews-Le_Clos-Limeray_Indre_et_Loire_Centre_Val_de_Loire.html,"5,0","10 route du Buisson, 37530 Limeray France",6594571108939
19,Les Lauriers Eco Hotel & Restaurant,https://www.tripadvisor.fr/Hotel_Review-g1191832-d5043093-Reviews-Les_Lauriers_Eco_Hotel_Restaurant-Anse_Volbert_Praslin_Island.html,"4,5","Cote D'or, Anse Volbert, Île de Praslin SC Îles Seychelles",11918325043093
20,Pension Hibiscus,https://www.tripadvisor.fr/Hotel_Review-g477968-d1592323-Reviews-Pension_Hibiscus-La_Digue_Island.html,"4,5","Anse Reunion, La Digue Island Îles Seychelles",4779681592323
21,Le Sans Souci Guesthouse,https://www.tripadvisor.fr/Hotel_Review-g298572-d1948898-Reviews-Le_Sans_Souci_Guesthouse-Victoria_Mahe_Island.html,"5,0","Mountain road of Sans Soucis PO Box 1234, Victoria, Île de Mahé Îles Seychelles",2985721948898
22,Kenzi Club Agdal Medina,https://www.tripadvisor.fr/Hotel_Review-g293734-d1941087-Reviews-Kenzi_Club_Agdal_Medina-Marrakech_Marrakech_Safi.html,"4,5","Blvd Mohamed VI Zone de l'Agdal, Marrakech 40020 Maroc",2937341941087
23,Victoria Beachcomber Resort & Spa,https://www.tripadvisor.fr/Hotel_Review-g298344-d324865-Reviews-Victoria_Beachcomber_Resort_Spa-Pointe_Aux_Piments.html,"4,5","Coastal Road, Pointe Aux Piments, Île Maurice 21304",298344324865
24,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
25,Villa Eugenie,https://www.tripadvisor.fr/Hotel_Review-g187147-d228730-Reviews-Villa_Eugenie-Paris_Ile_de_France.html,"3,5","167 rue de Rome 17th Arr., 75017 Paris France",187147228730
26,Hotel the Originals Paris Montmartre Apolonia,https://www.tripadvisor.fr/Hotel_Review-g187147-d269116-Reviews-Hotel_the_Originals_Paris_Montmartre_Apolonia-Paris_Ile_de_France.html,"3,5","147 rue Marcadet, 75018 Paris France",187147269116
27,La Mondaine,https://www.tripadvisor.fr/Hotel_Review-g187147-d14888054-Reviews-La_Mondaine-Paris_Ile_de_France.html,"4,5","4 rue de Vintimille, 75009 Paris France",18714714888054
28,Apparteo Palatino Paris 13,https://www.tripadvisor.fr/Hotel_Review-g187147-d9799377-Reviews-Apparteo_Palatino_Paris_13-Paris_Ile_de_France.html,"3,5","20-36 Allee Éric Chabeur 17 Avenue de Choisy, 75013 Paris France",1871479799377
29,Hotel Paris Lafayette,https://www.tripadvisor.fr/Hotel_Review-g187147-d633099-Reviews-Hotel_Paris_Lafayette-Paris_Ile_de_France.html,"3,5","23 rue des Messageries 10th Arr., 75010 Paris France",187147633099
30,Hôtel Eldorado,https://www.tripadvisor.fr/Hotel_Review-g187147-d236438-Reviews-Hotel_Eldorado-Paris_Ile_de_France.html,"3,5","18 rue des Dames, 75017 Paris France",187147236438
31,Hôtel La Manufacture,https://www.tripadvisor.fr/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"4,5","8 rue Philippe de Champagne 13th Arr., 75013 Paris France",187147197563
32,Holiday Inn Bangkok Sukhumvit,https://www.tripadvisor.fr/Hotel_Review-g293916-d3657941-Reviews-Holiday_Inn_Bangkok_Sukhumvit-Bangkok.html,"4,5","1 Sukhumvit 22 Khlong Tan, Khlong Toei, Bangkok 10110 Thaïlande",2939163657941
33,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
34,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
35,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
