,name,rate,title,u_id,h_id
0,lionel-lacour,"5,0",Très bon hôtel,1374772216106068382,1871477645653
1,michelerochiccioli2,"5,0",A conseiller +++,3227041573719229893,1871477645653
2,thierryjulien2020,"5,0",Très bien,6615569367056388178,1871477645653
3,xk551,"2,0",tres déçu pour ma deuxième venue chez vous.,5470079228756860435,1871477645653
4,Julie C,"5,0",Aux petits soins!,-8470893163284267195,1871477645653
5,Julie C,"5,0",Aux petits soins!,-8470893163284267195,1871477645653
6,Julie C,"1,0",Charme et sourire !,-8470893163284267195,102563012560048
7,Elmiltch,"5,0",Idéal pour visite de Paris en famille,3305276730387655871,187147228694
8,Elmiltch,"5,0",Idéal pour visite de Paris en famille,3305276730387655871,187147228694
9,Sarahe,"5,0",Bon séjours,738697704894769810,187147228694
10,Guillaume G,"5,0","Rapport qualité/prix de folie, localisation idéale pour visiter Paris.",8959610678821988966,187147228694
11,Silva A,"5,0",Séjour Hotel Malte Astotel Paris,-5546052288628063013,187147228694
12,Silva A,"5,0",Séjour Hotel Malte Astotel Paris,-5546052288628063013,187147228694
13,Marc W,"5,0",Chouette hôtel,495468800343898704,187147228694
14,Marc W,"5,0",Chouette hôtel,495468800343898704,187147228694
15,Marc W,"5,0",30 ans de mariage au Domaine de la Réserve : magique !,495468800343898704,1191832316586
16,Martinepierre14,"5,0",Accueil très chaleureux dans un contexte difficile de confinement et d'attentats,8848017619098316532,187147197563
17,Martinepierre14,"5,0",Accueil très chaleureux dans un contexte difficile de confinement et d'attentats,8848017619098316532,187147197563
18,Martinepierre14,"4,0",Très belle adresse pour visiter Lisbonne,8848017619098316532,1891581754262
19,Martinepierre14,"4,0",Très agréable,8848017619098316532,187187582557
20,Martinepierre14,"5,0",Toujours une très belle adresse à Venise,8848017619098316532,187870558796
21,Martinepierre14,"5,0",Merveilleux endroit à 5 minutes à pied du port de Cancale,8848017619098316532,1965261466662
22,Martinepierre14,"4,0",Un endroit parfait pour se balader dans Londres,8848017619098316532,186338199141
23,Martinepierre14,"5,0",exceptionnel,8848017619098316532,139173776695448
24,Martinepierre14,"3,0",Froid,8848017619098316532,63691066368996
25,bozu2046,"4,0",Très bon rapport qualité/ prix,-8500803930863949847,63691066368996
26,bozu2046,"4,0",Très bon rapport qualité/ prix,-8500803930863949847,187147197563
27,bozu2046,"5,0",Un hôte extraordinaire et un cadre merveilleux,-8500803930863949847,6594571108939
28,bozu2046,"3,0",Bien mais...,-8500803930863949847,11918325043093
29,bozu2046,"5,0",Excellent séjour,-8500803930863949847,4779681592323
30,bozu2046,"5,0",Séjour trop court !,-8500803930863949847,2985721948898
31,bozu2046,"4,0",Bon séjour en famille,-8500803930863949847,2937341941087
32,bozu2046,"4,0",Un très beau séjour en famille,-8500803930863949847,298344324865
33,eric2vdigpo1ml5lxh5g,"5,0",Un bel endroit,1974806488464018269,298344324865
34,xav d,"4,0",Voyage affaire,8593164315796821340,298344324865
35,xav d,"4,0",Voyage affaire,8593164315796821340,187147197563
36,xav d,"5,0",3ème visite ,8593164315796821340,187147228730
37,xav d,"3,0",Bon rapport qualité prix ,8593164315796821340,187147269116
38,xav d,"5,0",Anniversaire de mariage ,8593164315796821340,18714714888054
39,xav d,"3,0",Appartement simple type étudiant ,8593164315796821340,1871479799377
40,xav d,"3,0",hotel bien placé mais sans grand intérêt,8593164315796821340,187147633099
41,xav d,"3,0",Encore un hôtel pharisien qui a besoin de rafraîchissement,8593164315796821340,187147236438
42,Remyriam,"5,0",Excellent sejour a l'hotel La Manufacture,7488757084377663645,187147236438
